date,home_team,away_team,ml_home,ml_away,book,source
2026-03-25,Indiana Pacers,Los Angeles Lakers,320,-426,betmgm,sbr_scrape
2026-03-25,Philadelphia 76ers,Chicago Bulls,-275,220,betmgm,sbr_scrape
2026-03-25,Detroit Pistons,Atlanta Hawks,-150,125,betmgm,sbr_scrape
2026-03-25,Cleveland Cavaliers,Miami Heat,-150,125,betmgm,sbr_scrape
2026-03-25,Boston Celtics,Oklahoma City Thunder,115,-140,betmgm,sbr_scrape
2026-03-25,Memphis Grizzlies,San Antonio Spurs,1000,-2000,betmgm,sbr_scrape
2026-03-25,Utah Jazz,Washington Wizards,-155,125,betmgm,sbr_scrape
2026-03-25,Minnesota Timberwolves,Houston Rockets,105,-130,betmgm,sbr_scrape
2026-03-25,Golden State Warriors,Brooklyn Nets,-625,450,betmgm,sbr_scrape
2026-03-25,Denver Nuggets,Dallas Mavericks,-625,450,betmgm,sbr_scrape
2026-03-25,Portland Trail Blazers,Milwaukee Bucks,-1000,650,betmgm,sbr_scrape
2026-03-25,Los Angeles Clippers,Toronto Raptors,-185,150,betmgm,sbr_scrape
