TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT
1610612737,ATL,Atlanta Hawks,73,41,32,241.0,9.4,4.7,32.6,18.3,27.4,0.666
1610612738,BOS,Boston Celtics,72,48,24,240.7,7.3,5.1,33.7,14.3,23.1,0.62
1610612751,BKN,Brooklyn Nets,73,17,56,241.0,7.9,4.3,29.1,19.0,28.4,0.671
1610612766,CHA,Charlotte Hornets,73,39,34,241.0,7.1,4.5,33.5,16.4,25.4,0.646
1610612741,CHI,Chicago Bulls,72,29,43,241.0,7.5,5.0,34.8,19.3,29.0,0.664
1610612739,CLE,Cleveland Cavaliers,73,45,28,241.0,8.6,5.1,32.5,16.1,25.3,0.636
1610612742,DAL,Dallas Mavericks,73,23,50,242.4,7.4,5.2,34.3,19.0,29.4,0.646
1610612743,DEN,Denver Nuggets,74,46,28,242.7,6.8,3.9,33.9,16.9,24.6,0.687
1610612765,DET,Detroit Pistons,73,53,20,241.4,10.5,6.3,32.4,14.7,24.0,0.61
1610612744,GSW,Golden State Warriors,73,35,38,241.7,9.9,4.3,31.1,18.0,27.0,0.667
1610612745,HOU,Houston Rockets,72,43,29,243.1,8.7,5.8,33.0,17.2,26.8,0.642
1610612754,IND,Indiana Pacers,73,16,57,241.0,7.3,4.6,31.7,19.6,29.4,0.667
1610612746,LAC,LA Clippers,73,37,36,241.4,9.0,4.9,31.2,16.3,25.1,0.648
1610612747,LAL,Los Angeles Lakers,73,47,26,240.3,8.4,4.2,31.3,17.9,25.5,0.703
1610612763,MEM,Memphis Grizzlies,72,24,48,240.7,8.8,5.0,31.7,18.5,27.5,0.672
1610612748,MIA,Miami Heat,73,39,34,240.3,9.0,4.3,34.6,17.4,25.9,0.671
1610612749,MIL,Milwaukee Bucks,72,29,43,241.0,7.4,3.9,32.0,16.1,24.0,0.67
1610612750,MIN,Minnesota Timberwolves,73,45,28,241.4,8.8,5.7,33.4,17.2,27.6,0.622
1610612740,NOP,New Orleans Pelicans,74,25,49,241.7,8.9,5.1,31.6,18.9,28.1,0.672
1610612752,NYK,New York Knicks,74,48,26,241.0,8.1,4.0,33.2,14.8,22.4,0.66
1610612760,OKC,Oklahoma City Thunder,73,57,16,242.1,9.6,5.5,34.5,13.4,22.7,0.592
1610612753,ORL,Orlando Magic,73,39,34,242.1,8.5,4.8,32.3,16.9,25.6,0.663
1610612755,PHI,Philadelphia 76ers,73,40,33,242.7,9.2,5.8,31.6,18.0,27.2,0.662
1610612756,PHX,Phoenix Suns,73,40,33,241.0,9.7,4.1,30.1,16.8,25.9,0.65
1610612757,POR,Portland Trail Blazers,74,37,37,240.7,8.2,5.4,31.9,17.2,26.6,0.646
1610612758,SAC,Sacramento Kings,74,19,55,241.0,8.0,4.5,30.8,18.9,27.7,0.682
1610612759,SAS,San Antonio Spurs,73,55,18,240.3,7.5,5.5,35.6,14.8,23.4,0.632
1610612761,TOR,Toronto Raptors,72,40,32,241.4,8.6,4.9,31.2,17.2,25.8,0.665
1610612762,UTA,Utah Jazz,73,21,52,242.1,8.7,3.8,31.8,18.8,26.4,0.712
1610612764,WAS,Washington Wizards,72,17,55,241.0,7.9,5.8,31.2,20.8,31.9,0.651
