TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
1610612737,ATL,Atlanta Hawks,73,41,32,241.0,50.7,10.7,22.3,0.479,4.4,5.8,0.77,26.6,0.526,21.3,0.42,5.2,0.103,2.9,0.057,2.9,0.058
1610612738,BOS,Boston Celtics,72,48,24,240.7,47.4,12.1,23.4,0.518,4.5,5.5,0.823,29.5,0.621,17.1,0.359,4.2,0.089,2.8,0.06,2.8,0.059
1610612751,BKN,Brooklyn Nets,73,17,56,241.0,47.2,9.8,21.5,0.458,6.2,7.7,0.801,26.6,0.564,17.2,0.365,4.5,0.096,3.3,0.07,3.9,0.084
1610612766,CHA,Charlotte Hornets,73,39,34,241.0,50.9,10.9,23.6,0.461,5.8,7.0,0.841,28.3,0.556,18.7,0.367,4.8,0.094,3.8,0.074,3.5,0.069
1610612741,CHI,Chicago Bulls,72,29,43,241.0,58.5,11.2,22.5,0.499,6.4,8.0,0.805,29.6,0.506,26.2,0.448,5.6,0.096,3.9,0.067,4.1,0.07
1610612739,CLE,Cleveland Cavaliers,73,45,28,241.0,46.5,10.6,20.2,0.523,4.4,5.6,0.793,26.4,0.567,19.1,0.411,4.7,0.101,2.8,0.061,2.8,0.061
1610612742,DAL,Dallas Mavericks,73,23,50,242.4,52.7,12.6,25.9,0.486,6.4,8.4,0.763,32.4,0.615,17.7,0.335,4.3,0.082,3.4,0.064,4.3,0.081
1610612743,DEN,Denver Nuggets,74,46,28,242.7,33.8,8.2,16.2,0.508,4.2,5.0,0.831,21.4,0.632,12.3,0.363,3.5,0.103,2.1,0.062,2.5,0.075
1610612765,DET,Detroit Pistons,73,53,20,241.4,44.5,10.0,21.2,0.469,5.0,6.1,0.81,25.8,0.579,16.4,0.368,4.6,0.103,2.6,0.059,3.2,0.071
1610612744,GSW,Golden State Warriors,73,35,38,241.7,42.4,8.3,16.5,0.505,4.9,6.0,0.824,22.3,0.525,18.8,0.444,4.0,0.094,2.9,0.068,3.0,0.071
1610612745,HOU,Houston Rockets,72,43,29,243.1,42.7,11.0,21.6,0.511,4.4,5.6,0.79,27.2,0.637,14.5,0.339,3.4,0.079,3.0,0.07,2.9,0.067
1610612754,IND,Indiana Pacers,73,16,57,241.0,53.5,11.5,23.2,0.495,6.2,7.8,0.793,30.0,0.562,21.6,0.404,4.9,0.092,3.2,0.061,3.9,0.074
1610612746,LAC,LA Clippers,73,37,36,241.4,42.0,9.6,19.5,0.492,6.5,7.9,0.826,26.4,0.629,14.8,0.353,3.9,0.093,2.7,0.064,4.0,0.095
1610612747,LAL,Los Angeles Lakers,73,47,26,240.3,37.6,10.1,18.5,0.545,5.4,6.7,0.799,26.5,0.705,12.4,0.329,3.4,0.09,2.4,0.063,3.4,0.091
1610612763,MEM,Memphis Grizzlies,72,24,48,240.7,47.7,10.7,22.0,0.485,5.6,7.0,0.804,28.0,0.587,17.4,0.366,4.8,0.1,3.2,0.067,3.6,0.076
1610612748,MIA,Miami Heat,73,39,34,240.3,60.8,13.1,26.0,0.503,6.3,8.1,0.783,33.5,0.55,25.5,0.419,5.6,0.092,3.6,0.06,4.1,0.068
1610612749,MIL,Milwaukee Bucks,72,29,43,241.0,45.0,9.9,19.0,0.519,4.2,5.7,0.737,24.7,0.548,19.0,0.423,4.7,0.105,2.6,0.058,2.9,0.064
1610612750,MIN,Minnesota Timberwolves,73,45,28,241.4,43.6,10.7,20.9,0.512,6.3,8.1,0.783,28.7,0.659,14.9,0.341,3.8,0.086,2.6,0.06,4.1,0.094
1610612740,NOP,New Orleans Pelicans,74,25,49,241.7,52.5,12.7,26.3,0.481,7.6,9.7,0.783,34.0,0.648,16.4,0.313,3.8,0.072,3.4,0.064,4.9,0.094
1610612752,NYK,New York Knicks,74,48,26,241.0,48.8,11.6,23.5,0.494,5.7,7.0,0.812,30.0,0.616,17.7,0.362,4.1,0.084,2.9,0.06,3.6,0.074
1610612760,OKC,Oklahoma City Thunder,73,57,16,242.1,54.7,12.4,24.5,0.506,6.8,8.1,0.834,32.6,0.596,21.5,0.394,5.3,0.097,3.0,0.055,4.1,0.075
1610612753,ORL,Orlando Magic,73,39,34,242.1,49.2,11.4,23.7,0.479,7.2,8.8,0.808,30.8,0.626,17.0,0.345,4.1,0.084,2.8,0.057,4.5,0.091
1610612755,PHI,Philadelphia 76ers,73,40,33,242.7,43.8,10.7,22.7,0.47,6.3,7.7,0.814,28.6,0.653,13.4,0.306,3.2,0.073,2.7,0.062,3.9,0.089
1610612756,PHX,Phoenix Suns,73,40,33,241.0,47.5,9.9,20.9,0.472,4.8,6.0,0.805,25.3,0.533,18.9,0.399,4.6,0.098,3.2,0.068,3.0,0.064
1610612757,POR,Portland Trail Blazers,74,37,37,240.7,58.0,10.6,22.0,0.48,6.7,8.6,0.782,28.8,0.497,25.0,0.431,5.7,0.099,4.8,0.083,4.4,0.075
1610612758,SAC,Sacramento Kings,74,19,55,241.0,47.8,9.5,20.3,0.468,5.6,7.2,0.77,25.2,0.528,19.5,0.408,5.0,0.105,3.3,0.069,3.7,0.077
1610612759,SAS,San Antonio Spurs,73,55,18,240.3,50.7,11.9,22.9,0.521,5.6,7.2,0.767,30.2,0.596,19.1,0.377,5.0,0.098,3.7,0.072,3.7,0.072
1610612761,TOR,Toronto Raptors,72,40,32,241.4,47.1,9.7,20.0,0.484,5.7,7.1,0.792,25.7,0.546,19.3,0.409,4.6,0.097,3.0,0.064,3.6,0.076
1610612762,UTA,Utah Jazz,73,21,52,242.1,45.4,10.1,20.8,0.484,6.6,7.9,0.834,27.7,0.61,16.4,0.361,4.2,0.092,3.1,0.068,4.0,0.089
1610612764,WAS,Washington Wizards,72,17,55,241.0,44.8,10.0,21.9,0.457,4.9,6.5,0.758,25.4,0.567,15.2,0.338,4.3,0.095,3.4,0.075,3.3,0.073
