PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TOV_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK
1641739,Toumani Camara,74,37,37,0.5,33.1,112.1,112.8,-0.8,15.9,0.05,0.12,0.084,11.798,0.161,104.03,1,91,499,293,39,252,299,269,338,238,348,323,46,348,125
1630643,Jay Huff,74,16,58,0.216,20.9,106.6,113.7,-7.2,13.5,0.045,0.15,0.098,8.552,0.181,103.32,1,327,571,506,256,448,342,421,411,270,227,251,46,263,168
1642847,Jeremiah Fears,74,25,49,0.338,24.9,110.5,117.6,-7.1,17.9,0.029,0.127,0.077,12.256,0.246,103.17,1,216,564,420,183,315,476,420,272,395,319,364,46,81,180
1628971,Bruce Brown,74,46,28,0.622,24.5,113.9,114.4,-0.5,20.9,0.05,0.122,0.088,10.833,0.143,100.31,1,21,391,141,189,168,382,263,188,234,337,296,46,428,395
1628969,Mikal Bridges,74,48,26,0.649,33.4,116.8,110.2,6.6,22.2,0.033,0.099,0.066,5.869,0.175,100.27,1,12,358,114,34,71,177,84,163,370,445,437,46,290,397
1627739,Kris Dunn,74,38,36,0.514,27.4,114.4,112.3,2.1,31.8,0.032,0.109,0.071,11.668,0.126,98.73,1,84,495,281,137,145,280,189,35,375,398,399,46,493,474
1641716,Jarace Walker,73,15,58,0.205,25.6,106.9,117.6,-10.7,16.4,0.026,0.195,0.108,12.075,0.203,104.6,7,346,571,514,175,439,476,484,319,421,117,211,46,173,91
1629750,Javonte Green,73,53,20,0.726,17.7,111.9,104.6,7.3,9.8,0.05,0.123,0.087,8.427,0.147,103.9,7,4,268,57,317,266,44,67,521,237,336,303,46,407,132
1642852,Derik Queen,73,25,48,0.342,24.5,112.1,118.1,-6.0,22.8,0.072,0.234,0.153,14.005,0.216,103.57,7,216,557,417,190,252,482,396,149,153,51,80,46,149,146
1628978,Donte DiVincenzo,73,45,28,0.616,30.9,116.6,108.2,8.4,24.7,0.033,0.116,0.076,9.202,0.166,103.09,7,30,391,147,71,81,106,53,120,371,363,369,46,328,189
203944,Julius Randle,73,45,28,0.616,33.1,117.3,112.3,4.9,19.7,0.058,0.169,0.115,10.568,0.266,103.03,7,30,391,147,40,59,280,123,218,207,175,183,46,53,196
1630577,Julian Champagnie,73,55,18,0.753,27.7,119.3,107.0,12.3,13.0,0.036,0.184,0.113,7.873,0.152,103.02,7,1,237,45,128,32,81,23,428,335,139,191,46,382,198
1629640,Keldon Johnson,73,55,18,0.753,23.2,115.0,108.8,6.2,10.6,0.076,0.173,0.125,6.826,0.203,102.45,7,1,237,45,207,126,119,92,502,145,162,153,46,173,238
1630217,Desmond Bane,73,39,34,0.534,34.2,112.5,111.4,1.1,18.4,0.039,0.096,0.068,8.649,0.233,102.25,7,65,478,259,22,227,240,214,260,308,459,425,46,107,260
201942,DeMar DeRozan,73,18,55,0.247,31.6,109.9,121.0,-11.1,19.9,0.015,0.094,0.054,5.944,0.228,102.07,7,298,569,487,55,337,528,490,212,502,469,510,46,118,271
203501,Tim Hardaway Jr.,73,45,28,0.616,26.9,118.6,114.7,3.9,10.6,0.009,0.097,0.055,4.458,0.185,101.47,7,30,391,147,149,40,397,148,503,533,457,504,1,242,327
1631222,Jake LaRavia,73,47,26,0.644,24.7,115.6,116.4,-0.8,17.7,0.069,0.111,0.091,10.113,0.146,101.32,7,16,358,120,185,108,452,269,282,160,387,279,46,414,337
