TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ
1610612737,ATL,Atlanta Hawks,73,41,32,241.0,295.8,295.8,30.4,2.5,3.5,53.4,79.2,36.4,0.103,0.123
1610612738,BOS,Boston Celtics,72,48,24,240.7,283.6,283.6,24.4,1.7,3.3,43.7,64.3,29.3,0.086,0.103
1610612751,BKN,Brooklyn Nets,73,17,56,241.0,296.4,296.4,25.2,2.2,2.7,48.0,67.1,30.0,0.085,0.101
1610612766,CHA,Charlotte Hornets,73,39,34,241.0,283.3,283.3,26.6,2.4,3.7,47.4,71.7,32.6,0.094,0.115
1610612741,CHI,Chicago Bulls,72,29,43,241.0,320.6,320.6,28.8,1.8,4.1,52.3,74.4,34.6,0.09,0.108
1610612739,CLE,Cleveland Cavaliers,73,45,28,241.0,292.2,292.2,28.2,2.9,4.1,51.6,73.4,35.2,0.096,0.12
1610612742,DAL,Dallas Mavericks,73,23,50,242.4,262.6,266.2,25.4,2.3,2.9,42.3,63.9,30.3,0.097,0.115
1610612743,DEN,Denver Nuggets,74,46,28,242.7,286.1,286.1,28.6,3.3,3.5,49.3,75.3,35.4,0.1,0.124
1610612765,DET,Detroit Pistons,73,53,20,241.4,280.4,276.4,27.3,3.2,3.0,49.0,70.0,33.5,0.097,0.12
1610612744,GSW,Golden State Warriors,73,35,38,241.7,340.7,340.7,29.0,2.6,5.6,57.0,77.3,37.2,0.085,0.109
1610612745,HOU,Houston Rockets,72,43,29,243.1,279.8,279.8,24.9,2.5,4.0,44.5,63.9,31.3,0.089,0.112
1610612754,IND,Indiana Pacers,73,16,57,241.0,319.6,319.6,27.0,2.2,4.0,48.3,70.4,33.1,0.084,0.104
1610612746,LAC,LA Clippers,73,37,36,241.4,263.6,263.6,23.8,2.1,3.6,40.5,61.8,29.5,0.09,0.112
1610612747,LAL,Los Angeles Lakers,73,47,26,240.3,269.3,269.3,25.6,2.5,3.2,41.9,64.2,31.1,0.095,0.116
1610612763,MEM,Memphis Grizzlies,72,24,48,240.7,300.9,300.9,28.1,2.3,3.7,49.1,73.0,34.0,0.094,0.113
1610612748,MIA,Miami Heat,73,39,34,240.3,301.5,301.5,28.7,2.7,4.7,49.6,75.7,36.1,0.095,0.12
1610612749,MIL,Milwaukee Bucks,72,29,43,241.0,292.0,292.0,25.8,1.9,3.8,46.2,68.2,31.4,0.088,0.108
1610612750,MIN,Minnesota Timberwolves,73,45,28,241.4,297.7,294.8,26.2,2.4,3.9,41.9,67.8,32.4,0.088,0.109
1610612740,NOP,New Orleans Pelicans,74,25,49,241.7,273.3,273.3,25.4,2.2,2.8,42.6,64.9,30.4,0.093,0.111
1610612752,NYK,New York Knicks,74,48,26,241.0,290.1,290.1,27.5,1.8,3.9,46.4,71.7,33.3,0.095,0.115
1610612760,OKC,Oklahoma City Thunder,73,57,16,242.1,264.8,264.8,25.5,1.9,3.2,46.1,66.4,30.5,0.096,0.115
1610612753,ORL,Orlando Magic,73,39,34,242.1,289.1,293.0,26.4,2.5,3.3,44.3,66.8,31.6,0.091,0.109
1610612755,PHI,Philadelphia 76ers,73,40,33,242.7,303.6,303.6,24.8,2.5,3.5,42.5,64.6,30.8,0.082,0.101
1610612756,PHX,Phoenix Suns,73,40,33,241.0,279.0,279.0,24.7,2.1,3.8,45.0,65.2,30.5,0.089,0.109
1610612757,POR,Portland Trail Blazers,74,37,37,240.7,283.1,283.1,25.2,2.4,3.2,47.8,67.0,30.7,0.089,0.109
1610612758,SAC,Sacramento Kings,74,19,55,241.0,274.4,274.4,25.6,2.3,2.5,45.6,64.1,30.4,0.093,0.111
1610612759,SAS,San Antonio Spurs,73,55,18,240.3,282.8,279.5,27.8,2.7,4.2,50.0,73.5,34.6,0.098,0.122
1610612761,TOR,Toronto Raptors,72,40,32,241.4,293.7,290.1,29.1,2.7,3.6,52.3,74.2,35.3,0.099,0.12
1610612762,UTA,Utah Jazz,73,21,52,242.1,290.7,288.6,29.4,2.8,3.1,52.3,76.0,35.3,0.101,0.121
1610612764,WAS,Washington Wizards,72,17,55,241.0,280.4,277.9,25.0,2.3,2.7,44.5,65.0,30.0,0.089,0.107
