PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,14,6,8,0.429,7.9,1.1,2.9,0.39,0.6,1.6,0.364,0.6,0.6,1.0,0.5,1.1,1.6,0.2,0.3,0.3,0.2,0.1,1.1,0.5,3.5,-2.2,7.0,0,0,6.9,461,445,440,366,491,464,449,471,358,383,200,378,420,1,370,449,448,547,501,465,333,447,429,435,443,413,472,252,28,469,1
1631260,AJ Green,AJ,1610612749,MIL,26.0,68,28,40,0.412,28.5,3.1,7.5,0.417,2.7,6.7,0.406,0.5,0.7,0.804,0.3,2.2,2.5,1.9,0.9,0.5,0.1,0.2,2.3,0.9,9.5,-1.2,16.1,0,0,17.7,60,186,45,375,117,245,215,414,29,40,76,400,407,216,466,290,346,243,301,383,476,408,126,342,214,343,290,252,28,251,1
1642358,AJ Johnson,AJ,1610612742,DAL,21.0,40,7,33,0.175,8.8,1.1,3.2,0.326,0.2,1.1,0.205,0.5,0.6,0.826,0.2,0.9,1.2,0.9,0.6,0.2,0.1,0.4,0.6,0.4,2.8,-0.7,5.8,0,0,5.6,331,432,96,526,476,472,427,532,443,430,466,421,438,166,491,481,495,404,385,489,490,215,524,468,477,311,498,252,28,489,2
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,31,22,9,0.71,27.5,5.6,11.2,0.501,1.8,4.3,0.41,3.6,4.7,0.762,1.5,4.5,5.9,2.5,1.1,0.6,0.3,0.4,1.6,3.5,16.6,7.5,29.0,4,0,28.5,384,248,428,68,134,97,111,148,111,142,69,51,46,299,108,83,78,178,242,313,304,247,302,59,82,14,111,102,28,109,1
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,48,30,18,0.625,13.2,1.8,4.5,0.407,1.1,2.9,0.386,0.7,0.8,0.865,0.2,0.7,0.9,1.0,0.7,0.5,0.1,0.1,1.3,0.8,5.5,1.1,9.0,0,0,9.6,271,169,319,135,403,376,351,435,224,253,128,365,391,100,517,508,519,375,364,388,465,446,381,372,358,169,435,252,28,416,1
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,45,10,35,0.222,29.7,4.7,11.4,0.414,2.3,6.2,0.379,2.0,2.5,0.829,1.1,3.1,4.2,1.9,1.4,0.6,0.5,0.8,2.8,2.6,13.8,-4.5,23.5,0,0,24.4,303,402,79,502,97,134,105,420,59,58,148,131,145,162,167,188,181,239,169,316,147,48,46,113,118,511,166,252,28,145,1
1630598,Aaron Wiggins,Aaron,1610612760,OKC,27.0,57,44,13,0.772,22.6,3.7,8.6,0.429,1.5,4.3,0.357,0.9,1.2,0.735,0.7,2.6,3.3,1.7,1.3,0.9,0.5,0.5,1.3,1.0,9.8,3.6,19.2,0,0,19.1,194,36,390,36,219,201,177,373,149,146,226,304,305,349,309,236,265,264,185,141,171,192,371,329,209,71,238,252,28,227,1
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,64,18,46,0.281,27.1,5.3,11.9,0.445,1.9,5.4,0.359,1.0,1.2,0.782,1.5,2.6,4.1,1.8,1.4,0.9,0.6,0.4,2.7,1.1,13.4,-5.3,24.3,0,0,24.3,98,298,20,451,145,110,96,321,95,84,218,294,301,260,97,238,187,252,179,165,105,255,51,291,127,534,157,252,28,146,1
1641737,Adem Bona,Adem,1610612755,PHI,23.0,63,36,27,0.571,17.6,1.8,3.2,0.583,0.0,0.1,0.333,1.1,1.7,0.692,1.9,2.7,4.5,0.4,0.8,0.4,1.3,0.4,2.2,1.5,4.9,-0.3,15.2,1,0,13.3,110,105,183,200,320,375,430,60,486,510,285,247,225,409,73,233,159,511,335,401,26,239,140,232,383,274,316,183,28,340,1
1642876,Adou Thiero,Adou,1610612747,LAL,21.0,20,11,9,0.55,5.3,0.5,1.1,0.455,0.0,0.1,0.0,0.5,0.6,0.75,0.4,0.7,1.0,0.3,0.3,0.3,0.1,0.2,0.8,0.5,1.5,-0.3,3.9,0,0,3.5,433,395,428,235,530,535,547,280,497,520,497,427,432,318,439,525,505,534,511,476,451,442,480,463,536,275,534,252,28,540,1
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,50,43,7,0.86,26.1,5.2,10.7,0.488,1.1,3.2,0.342,2.6,2.9,0.877,0.7,2.8,3.5,3.6,1.5,1.3,0.3,0.4,2.1,2.8,14.1,8.4,26.9,1,0,25.4,254,42,457,11,161,113,125,185,234,230,262,95,111,85,302,223,244,102,144,47,279,218,184,88,113,10,133,183,28,130,1
201143,Al Horford,Al,1610612744,GSW,39.0,43,22,21,0.512,21.7,3.1,7.2,0.424,1.7,4.6,0.36,0.5,0.6,0.846,1.0,4.0,5.0,2.6,1.0,0.7,1.2,0.1,1.2,0.5,8.3,-0.2,22.8,0,0,21.3,315,248,273,282,242,250,230,388,129,128,216,407,430,126,176,113,129,172,279,247,30,455,411,454,253,271,177,252,28,194,1
1627936,Alex Caruso,Alex,1610612760,OKC,32.0,50,41,9,0.82,18.5,2.3,5.6,0.418,0.9,3.3,0.283,0.8,1.0,0.813,0.6,2.2,2.8,2.0,0.9,1.4,0.3,0.2,1.2,1.0,6.4,6.9,17.0,0,0,15.5,254,48,428,19,303,322,301,407,274,212,416,334,351,194,351,293,314,228,307,43,238,365,407,320,324,19,277,252,28,292,1
1631457,Alex Morales,Alex,1610612753,ORL,28.0,1,0,1,0.0,12.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,14.0,9.6,0,0,9.0,564,551,539,551,423,477,505,150,497,528,497,537,539,537,179,320,289,73,81,541,510,516,3,548,508,1,422,252,28,428,1
1642259,Alex Sarr,Alex,1610612764,WAS,20.0,47,11,36,0.234,27.3,6.7,13.7,0.485,1.0,3.1,0.336,2.1,3.1,0.694,2.2,5.2,7.4,2.7,1.7,0.8,2.0,1.3,2.1,2.6,16.5,-7.3,36.1,12,0,33.3,288,395,75,496,141,58,62,190,242,236,282,121,102,407,48,45,45,159,117,189,2,6,164,103,84,553,47,42,28,64,1
1642918,Alijah Martin,Alijah,1610612761,TOR,24.0,16,6,10,0.375,6.4,0.8,2.1,0.353,0.2,0.9,0.214,0.8,1.0,0.813,0.4,0.5,0.9,0.5,0.3,0.4,0.2,0.2,0.6,0.5,2.5,0.1,5.9,0,0,5.3,452,445,421,399,512,513,500,512,454,452,461,324,339,194,429,534,521,490,511,397,361,412,512,435,491,243,493,252,28,498,1
1631214,Alondes Williams,Alondes,1610612764,WAS,26.0,4,2,2,0.5,25.2,4.0,6.5,0.615,1.3,3.5,0.357,1.8,2.0,0.875,1.3,5.0,6.3,3.0,1.3,0.8,0.8,0.0,1.0,1.5,11.0,8.8,26.3,1,0,24.5,530,504,523,293,179,184,257,41,196,197,224,157,184,86,133,54,73,132,205,223,82,516,446,227,180,8,135,183,28,143,1
1630578,Alperen Sengun,Alperen,1610612745,HOU,23.0,64,39,25,0.609,33.6,8.1,15.8,0.516,0.5,1.7,0.279,3.7,5.4,0.682,3.0,6.0,8.9,6.2,3.3,1.2,1.1,0.9,3.2,5.2,20.4,2.1,44.1,31,4,40.6,98,65,216,156,27,23,38,120,388,360,419,50,39,419,21,27,20,27,12,63,36,40,20,17,37,112,13,9,6,21,1
1642873,Amari Williams,Amari,1610612738,BOS,24.0,19,13,6,0.684,6.3,0.4,0.9,0.471,0.0,0.0,0.0,0.4,0.6,0.667,0.4,1.2,1.6,0.4,0.4,0.1,0.5,0.1,0.8,0.6,1.3,-2.2,5.2,0,0,4.5,438,370,465,81,513,546,556,233,497,528,497,436,423,427,410,435,449,514,461,532,166,472,484,412,542,410,510,252,28,520,1
1641708,Amen Thompson,Amen,1610612745,HOU,23.0,71,42,29,0.592,37.3,6.9,13.2,0.524,0.4,1.5,0.229,3.8,4.8,0.779,3.0,4.8,7.9,5.2,2.5,1.5,0.6,0.9,2.3,3.6,17.9,3.9,39.0,19,0,35.5,26,44,146,181,2,51,74,107,413,391,456,45,45,270,19,65,35,44,47,31,108,41,125,53,64,63,35,21,28,44,1
1629599,Amir Coffey,Amir,1610612756,PHX,28.0,43,18,25,0.419,10.2,1.0,2.2,0.484,0.3,1.0,0.317,0.5,0.7,0.786,0.4,0.8,1.2,0.6,0.1,0.2,0.1,0.0,0.7,0.5,2.9,-0.9,6.0,0,0,5.6,315,298,216,372,458,473,497,191,425,446,347,407,417,250,411,499,487,477,535,502,436,507,507,454,472,321,491,252,28,492,2
1643158,Andersson Garcia,Andersson,1610612762,UTA,25.0,5,1,4,0.2,33.8,1.8,5.8,0.31,0.2,2.6,0.077,1.4,1.8,0.778,3.4,5.0,8.4,2.8,1.4,1.6,0.8,0.6,3.2,2.6,5.2,-7.4,25.3,0,0,21.4,516,525,490,516,26,380,286,540,448,281,495,201,210,272,10,54,29,149,169,20,75,122,22,107,371,556,147,252,28,192,1
203083,Andre Drummond,Andre,1610612755,PHI,32.0,55,28,27,0.509,19.7,2.6,5.4,0.472,0.5,1.5,0.346,0.9,1.4,0.627,3.2,5.3,8.5,1.1,1.0,0.6,0.8,0.3,2.0,1.3,6.5,-2.5,21.5,15,0,19.4,214,186,183,285,280,299,307,228,377,398,254,310,272,462,14,42,28,356,252,327,71,288,188,255,319,424,205,31,28,220,1
1641748,Andre Jackson Jr.,Andre,1610612749,MIL,24.0,39,10,29,0.256,6.6,0.5,1.7,0.279,0.2,1.0,0.211,0.3,0.4,0.75,0.5,0.7,1.2,0.9,0.5,0.3,0.1,0.1,0.8,0.4,1.5,-0.6,4.9,0,0,4.5,339,402,146,474,508,543,522,548,447,445,465,466,471,318,380,515,494,412,446,443,488,490,488,467,535,301,517,252,28,518,1
1629614,Andrew Nembhard,Andrew,1610612754,IND,26.0,56,12,44,0.214,31.2,5.8,13.2,0.441,1.9,5.2,0.362,3.4,4.2,0.824,0.4,2.4,2.8,7.6,2.4,0.9,0.1,0.7,2.2,3.3,17.0,-7.2,32.5,12,0,31.4,203,380,27,508,63,85,72,333,98,98,211,55,57,174,397,269,308,9,51,151,406,99,133,69,77,551,77,42,28,76,1
203952,Andrew Wiggins,Andrew,1610612748,MIA,31.0,60,31,29,0.517,30.5,5.9,12.4,0.477,2.0,4.9,0.405,1.9,2.4,0.787,1.7,3.3,5.0,2.7,1.5,1.1,1.0,0.6,2.3,1.8,15.6,0.3,30.6,2,0,29.6,154,162,146,278,79,81,85,212,85,108,80,147,155,248,81,164,132,160,145,84,44,122,123,179,90,226,96,146,28,95,1
1629014,Anfernee Simons,Anfernee,1610612741,CHI,26.0,55,31,24,0.564,24.9,5.2,11.8,0.44,2.7,6.9,0.385,1.3,1.4,0.896,0.6,1.9,2.5,2.4,1.2,0.5,0.1,0.5,1.7,1.1,14.3,1.8,21.5,0,0,23.1,214,162,228,215,181,115,98,337,33,32,129,224,267,55,346,339,356,188,213,375,405,164,278,294,109,127,203,252,28,163,2
1641710,Anthony Black,Anthony,1610612753,ORL,22.0,60,33,27,0.55,30.7,5.5,12.3,0.451,1.6,4.7,0.339,2.6,3.6,0.73,0.7,3.1,3.9,3.8,2.1,1.4,0.7,0.9,2.7,2.9,15.3,0.1,29.9,2,0,28.8,154,138,183,235,76,101,87,298,131,118,267,90,80,357,287,182,203,82,75,34,96,43,57,81,97,241,104,146,28,106,1
203076,Anthony Davis,Anthony,1610612764,WAS,33.0,20,10,10,0.5,31.3,8.5,16.7,0.506,0.5,1.9,0.27,3.0,4.1,0.728,3.1,8.0,11.1,2.8,2.1,1.1,1.7,0.7,2.1,4.4,20.4,-2.5,44.0,13,0,40.2,433,402,421,293,62,20,25,136,378,349,426,75,65,358,17,7,8,149,78,94,10,82,165,33,41,425,14,37,28,23,1
1630162,Anthony Edwards,Anthony,1610612750,MIN,24.0,58,35,23,0.603,35.5,10.1,20.5,0.492,3.4,8.6,0.402,5.9,7.4,0.796,0.6,4.5,5.1,3.7,2.8,1.4,0.8,0.5,1.9,4.6,29.5,2.6,45.0,2,0,46.2,179,116,243,164,5,6,4,175,5,11,87,15,13,232,331,79,124,93,27,41,69,189,236,30,3,95,11,146,28,9,1
1630264,Anthony Gill,Anthony,1610612764,WAS,33.0,45,6,39,0.133,14.3,1.9,3.2,0.59,0.2,0.8,0.286,0.4,0.5,0.75,1.0,1.6,2.7,1.1,0.7,0.5,0.4,0.3,1.4,0.7,4.4,-3.0,11.1,0,0,10.1,303,445,51,539,380,371,428,57,445,457,410,437,447,318,172,376,324,365,363,353,234,297,344,397,402,452,393,252,28,398,1
1641810,Antonio Reeves,Antonio,1610612766,CHA,25.0,9,3,6,0.333,7.3,1.1,2.2,0.5,0.8,1.4,0.538,0.0,0.0,0.0,0.2,0.7,0.9,0.2,0.1,0.1,0.0,0.1,0.3,0.0,3.0,3.0,4.6,0,0,5.1,486,484,465,421,498,468,492,150,302,402,13,537,539,537,493,515,520,545,537,530,510,470,546,548,461,86,522,252,28,503,1
1630574,Ariel Hukporti,Ariel,1610612752,NYK,23.0,49,32,17,0.653,8.8,0.7,1.2,0.55,0.0,0.1,0.25,0.4,0.6,0.75,0.9,1.8,2.8,0.5,0.6,0.2,0.5,0.1,1.2,0.6,1.8,0.3,7.2,0,0,6.3,261,154,337,109,475,524,541,83,491,513,437,433,440,318,201,352,315,506,399,515,167,466,403,429,526,224,470,252,28,479,1
1642854,Asa Newell,Asa,1610612737,ATL,20.0,40,20,20,0.5,11.1,2.0,3.7,0.537,0.7,1.7,0.391,0.4,0.6,0.56,0.9,1.1,2.0,0.5,0.5,0.4,0.3,0.3,1.6,0.7,5.0,-0.8,9.8,1,0,9.6,331,280,285,293,436,355,394,93,328,362,110,447,424,496,205,455,392,490,425,424,253,309,321,390,378,315,419,183,28,415,1
