TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
1610612737,ATL,Atlanta Hawks,73,41,32,241.0,241.0,97726.8,18.5,9.8,8.7,4.48,4.91,4.08
1610612738,BOS,Boston Celtics,72,48,24,240.7,240.7,93647.9,17.7,9.8,8.0,4.3,4.51,4.07
1610612751,BKN,Brooklyn Nets,73,17,56,241.0,241.0,96190.2,18.2,9.7,8.5,4.38,4.65,4.12
1610612766,CHA,Charlotte Hornets,73,39,34,241.0,241.0,95899.5,18.2,10.0,8.1,4.38,4.65,4.09
1610612741,CHI,Chicago Bulls,72,29,43,241.0,241.0,96780.3,18.3,9.8,8.6,4.44,4.86,4.05
1610612739,CLE,Cleveland Cavaliers,73,45,28,241.0,241.0,95073.6,18.0,9.4,8.6,4.35,4.71,4.01
1610612742,DAL,Dallas Mavericks,73,23,50,242.4,242.4,95730.6,18.1,9.8,8.4,4.36,4.7,4.02
1610612743,DEN,Denver Nuggets,74,46,28,242.7,242.7,90957.0,17.2,9.2,8.0,4.12,4.35,3.9
1610612765,DET,Detroit Pistons,73,53,20,241.4,241.4,94161.3,17.8,9.4,8.4,4.32,4.58,4.07
1610612744,GSW,Golden State Warriors,73,35,38,241.7,241.7,95673.3,18.1,9.9,8.2,4.36,4.62,4.08
1610612745,HOU,Houston Rockets,72,43,29,243.1,243.1,89394.0,16.9,9.2,7.8,4.04,4.17,3.9
1610612754,IND,Indiana Pacers,73,16,57,241.0,241.0,97927.4,18.5,9.9,8.7,4.48,4.85,4.13
1610612746,LAC,LA Clippers,73,37,36,241.4,241.4,91639.8,17.4,9.2,8.1,4.18,4.35,3.99
1610612747,LAL,Los Angeles Lakers,73,47,26,240.3,240.3,88266.3,16.7,8.9,7.8,4.03,4.25,3.8
1610612763,MEM,Memphis Grizzlies,72,24,48,240.7,240.7,96246.3,18.2,9.5,8.8,4.42,4.67,4.18
1610612748,MIA,Miami Heat,73,39,34,240.3,240.3,98145.7,18.6,9.8,8.8,4.52,5.07,4.02
1610612749,MIL,Milwaukee Bucks,72,29,43,241.0,241.0,93434.2,17.7,9.4,8.3,4.3,4.54,4.06
1610612750,MIN,Minnesota Timberwolves,73,45,28,241.4,241.4,92793.5,17.6,9.2,8.4,4.25,4.5,4.01
1610612740,NOP,New Orleans Pelicans,74,25,49,241.7,241.7,93685.4,17.7,9.4,8.4,4.27,4.54,4.0
1610612752,NYK,New York Knicks,74,48,26,241.0,241.0,95252.4,18.0,9.8,8.3,4.35,4.6,4.09
1610612760,OKC,Oklahoma City Thunder,73,57,16,242.1,242.1,94738.5,17.9,9.5,8.5,4.33,4.66,4.01
1610612753,ORL,Orlando Magic,73,39,34,242.1,242.1,94679.1,17.9,9.5,8.4,4.3,4.56,4.04
1610612755,PHI,Philadelphia 76ers,73,40,33,242.7,242.7,94065.6,17.8,9.5,8.3,4.26,4.5,4.01
1610612756,PHX,Phoenix Suns,73,40,33,241.0,241.0,94446.7,17.9,9.6,8.3,4.32,4.6,4.04
1610612757,POR,Portland Trail Blazers,74,37,37,240.7,240.7,95240.7,18.0,9.4,8.6,4.36,4.62,4.1
1610612758,SAC,Sacramento Kings,74,19,55,241.0,241.0,93293.7,17.7,9.4,8.3,4.27,4.52,4.01
1610612759,SAS,San Antonio Spurs,73,55,18,240.3,240.3,93662.8,17.7,9.2,8.5,4.35,4.64,4.07
1610612761,TOR,Toronto Raptors,72,40,32,241.4,241.4,95616.5,18.1,9.4,8.7,4.36,4.63,4.1
1610612762,UTA,Utah Jazz,73,21,52,242.1,242.1,94497.9,17.9,9.5,8.4,4.29,4.55,4.03
1610612764,WAS,Washington Wizards,72,17,55,241.0,241.0,96483.5,18.3,9.7,8.5,4.43,4.77,4.09
